スペイン語	日本語	カテゴリ	品詞	例文	例文（日本語訳）	ジャンル
opinar	意見を述べる	B1	動詞	¿Qué opinas de esto?	これについてどう思いますか？	意見・主張の表現
dudar	疑う	B1	動詞	Dudo que venga hoy.	彼が今日来るとは思えません。	意見・主張の表現
sospechar	推測する	B1	動詞	Sospecho que algo pasó.	何かあったのではと思います。	意見・主張の表現
discrepar	意見が異なる	B1	動詞	Discrepo de tu análisis.	あなたの分析には同意しません。	意見・主張の表現
coincidir	一致する	B1	動詞	Coincidimos en el plan.	私たちは計画について意見が一致しました。	意見・主張の表現
convencer	説得する	B1	動詞	No logré convencerlo.	彼を説得できませんでした。	意見・主張の表現
persuadir	説得する	B1	動詞	Intenté persuadirla.	私は彼女を説得しようとしました。	意見・主張の表現
argumentar	論じる	B1	動詞	Argumentó su punto con calma.	彼は冷静に自分の主張を論じました。	意見・主張の表現
debatir	討論する	B1	動詞	Vamos a debatir el tema.	そのテーマについて討論しましょう。	意見・主張の表現
cuestionar	疑問視する	B1	動詞	Nadie cuestionó la decisión.	誰もその決定を疑問視しませんでした。	意見・主張の表現
confirmar	確認する	B1	動詞	Puedes confirmar la hora.	時間を確認してもらえますか。	意見・主張の表現
negar	否定する	B1	動詞	Negó haberlo dicho.	彼はそう言ったことを否定しました。	意見・主張の表現
afirmar	断言する	B1	動詞	Afirma que es inocente.	彼は自分が無実だと断言しています。	意見・主張の表現
rechazar	拒否する	B1	動詞	Rechazó la propuesta.	彼はその提案を拒否しました。	意見・主張の表現
aceptar	受け入れる	B1	動詞	Aceptó el consejo.	彼はその助言を受け入れました。	意見・主張の表現
considerar	検討する	B1	動詞	Vamos a considerarlo.	それを検討しましょう。	意見・主張の表現
reflexionar	熟考する	B1	動詞	Necesito reflexionar sobre esto.	これについて熟考する必要があります。	意見・主張の表現
analizar	分析する	B1	動詞	Hay que analizar los datos.	データを分析しなければなりません。	意見・主張の表現
criticar	批判する	B1	動詞	Lo criticaron duramente.	彼らは彼を厳しく批判しました。	意見・主張の表現
elogiar	褒める	B1	動詞	El profesor la elogió.	先生は彼女を褒めました。	意見・主張の表現
contradecir	反論する	B1	動詞	No quiero contradecirte.	あなたに反論したくありません。	意見・主張の表現
comentar	コメントする	B1	動詞	¿Puedes comentar el resultado?	結果についてコメントしてもらえますか。	意見・主張の表現
sugerir	提案する	B1	動詞	Te sugiero descansar.	休むことをお勧めします。	意見・主張の表現
proponer	提案する	B1	動詞	Propongo otra solución.	別の解決策を提案します。	意見・主張の表現
recomendar	勧める	B1	動詞	Te recomiendo este libro.	この本をお勧めします。	意見・主張の表現
aconsejar	助言する	B1	動詞	Le aconsejé estudiar más.	私は彼にもっと勉強するよう助言しました。	意見・主張の表現
advertir	警告する	B1	動詞	Te advierto del riesgo.	リスクについて警告します。	意見・主張の表現
insistir	主張し続ける	B1	動詞	Insiste en su idea.	彼は自分の考えを主張し続けます。	意見・主張の表現
comprobar	確かめる	B1	動詞	Voy a comprobar los datos.	データを確かめます。	意見・主張の表現
verificar	検証する	B1	動詞	Hay que verificar la fuente.	情報源を検証する必要があります。	意見・主張の表現
justificar	正当化する	B1	動詞	No puede justificar su error.	彼は自分の過ちを正当化できません。	意見・主張の表現
exagerar	誇張する	B1	動詞	No exageres, por favor.	大げさに言わないでください。	意見・主張の表現
deducir	推論する	B1	動詞	Deduzco que está ocupado.	彼は忙しいのだと推測します。	意見・主張の表現
concluir	結論づける	B1	動詞	Concluyó que el plan era bueno.	彼はその計画が良いと結論づけました。	意見・主張の表現
depende	場合による	B1	動詞	Depende del día.	日によります。	意見・主張の表現
argumento	論拠	B1	名詞	Su argumento no me convence.	彼の論拠には納得できません。	意見・主張の表現
postura	立場	B1	名詞	Mantiene una postura firme.	彼は断固たる立場を保っています。	意見・主張の表現
debate	討論	B1	名詞	El debate duró dos horas.	討論は2時間続きました。	意見・主張の表現
desacuerdo	不一致	B1	名詞	Hay un gran desacuerdo entre ellos.	彼らの間には大きな不一致があります。	意見・主張の表現
crítica	批判	B1	名詞	Recibió muchas críticas.	彼は多くの批判を受けました。	意見・主張の表現
sugerencia	提案	B1	名詞	Gracias por tu sugerencia.	提案をありがとう。	意見・主張の表現
propuesta	提案	B1	名詞	Aceptamos la propuesta.	私たちはその提案を受け入れました。	意見・主張の表現
consejo	助言	B1	名詞	Te doy un consejo.	あなたに助言をあげます。	意見・主張の表現
advertencia	警告	B1	名詞	Ignoró la advertencia.	彼はその警告を無視しました。	意見・主張の表現
prueba	証拠	B1	名詞	No hay prueba suficiente.	十分な証拠がありません。	意見・主張の表現
evidencia	証拠	B1	名詞	La evidencia es clara.	証拠は明白です。	意見・主張の表現
hipótesis	仮説	B1	名詞	Propuso una nueva hipótesis.	彼は新しい仮説を提示しました。	意見・主張の表現
perspectiva	見方	B1	名詞	Tiene otra perspectiva.	彼は別の見方をしています。	意見・主張の表現
actitud	態度	B1	名詞	Cambió de actitud.	彼は態度を変えました。	意見・主張の表現
conclusión	結論	B1	名詞	Llegamos a una conclusión.	私たちは結論に達しました。	意見・主張の表現
razonamiento	推論	B1	名詞	Su razonamiento es lógico.	彼の推論は論理的です。	意見・主張の表現
objeción	異議	B1	名詞	No tengo ninguna objeción.	私には何の異議もありません。	意見・主張の表現
equivocado	間違った	B1	形容詞	Creo que estás equivocado.	あなたは間違っていると思います。	意見・主張の表現
acertado	的確な	B1	形容詞	Fue un comentario acertado.	それは的確なコメントでした。	意見・主張の表現
convincente	説得力のある	B1	形容詞	Su explicación fue convincente.	彼の説明は説得力がありました。	意見・主張の表現
dudoso	疑わしい	B1	形容詞	Ese dato es dudoso.	そのデータは疑わしいです。	意見・主張の表現
evidente	明白な	B1	形容詞	Es evidente que mintió.	彼が嘘をついたのは明白です。	意見・主張の表現
obvio	明らかな	B1	形容詞	Es obvio que tiene razón.	彼が正しいのは明らかです。	意見・主張の表現
discutible	議論の余地がある	B1	形容詞	Su decisión es discutible.	彼の決定には議論の余地があります。	意見・主張の表現
controvertido	物議を醸す	B1	形容詞	Es un tema controvertido.	それは物議を醸すテーマです。	意見・主張の表現
probablemente	おそらく	B1	副詞	Probablemente llegue tarde.	おそらく遅れて来るでしょう。	意見・主張の表現
posiblemente	もしかすると	B1	副詞	Posiblemente cambie de trabajo.	もしかすると転職するかもしれません。	意見・主張の表現
finalmente	最後に	B1	副詞	Finalmente, llegamos a un acuerdo.	最後に、私たちは合意に至りました。	意見・主張の表現
ciertamente	確かに	B1	副詞	Ciertamente, tiene talento.	確かに、彼は才能があります。	意見・主張の表現
evidentemente	明らかに	B1	副詞	Evidentemente, se equivocó.	明らかに、彼は間違えました。	意見・主張の表現
aparentemente	見たところ	B1	副詞	Aparentemente, todo va bien.	見たところ、すべて順調です。	意見・主張の表現
